nombre_del_municipio,Agno,concentraci_n
AGUSTÍN CODAZZI,2014,9.694000000000004
AGUSTÍN CODAZZI,2015,16.641272727272728
AGUSTÍN CODAZZI,2016,16.14535714285714
AGUSTÍN CODAZZI,2017,12.195391304347826
AGUSTÍN CODAZZI,2018,14.23933962264151
CHIRIGUANÁ,2017,9.325
CHIRIGUANÁ,2018,6.016923076923077
EL PASO,2012,15.48361904761905
EL PASO,2013,22.392192513368972
EL PASO,2014,19.568823529411745
EL PASO,2015,25.294952380952385
EL PASO,2016,26.94038961038961
EL PASO,2017,24.203695652173927
EL PASO,2018,18.289854227405225
LA JAGUA DE IBIRICO,2011,12.836315789473682
LA JAGUA DE IBIRICO,2012,13.351261261261259
LA JAGUA DE IBIRICO,2013,16.33150442477876
LA JAGUA DE IBIRICO,2014,16.5690350877193
LA JAGUA DE IBIRICO,2015,14.779718309859154
LA JAGUA DE IBIRICO,2016,16.145056818181835
LA JAGUA DE IBIRICO,2017,9.440829694323146
LA JAGUA DE IBIRICO,2018,10.105032679738565
LA PAZ,2011,12.085999999999999
LA PAZ,2012,15.813833333333328
LA PAZ,2013,15.808125
LA PAZ,2014,25.51923076923077
VALLEDUPAR,2018,13.455391304347827
